,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
sahm_240832,21.91,0,3.54,5.01,0.12,1.16,1.7,2.45,7.4,0,40.76,0.67,6.11,2.4,1.45,15.38,396.27,17.46,17.19,2.01,0,128.98,2.89,13.27,3.29,142.01,99.61,4.59,55.42,172.72,17.44,11.1,0,27.7,957.58,51.12,41.78,35.11,12.08,37.74,20.82
sahm_240928,34.25,0.1,7.71,1.02,0.55,5.57,3.39,18.55,8.59,2.27,78.91,1.84,3.28,10.02,2.07,42.41,325.24,36.78,5.29,0.3,0,88.02,0,11.47,0.32,263.05,22.98,2.22,85.25,369.51,18.61,11.81,0.02,40.96,2730.85,66.66,10.5,12.63,13.78,46.32,34.21
sahm_240930,28.9,0,4.66,1.06,0.24,3.39,0.36,3.87,2.65,0.73,106.67,2.48,9.98,2.24,1.72,10.47,195.3,27.12,7.02,3.27,0.95,138.03,2.87,12.05,2.47,197.67,40.13,3.48,78.66,413.43,17.14,17.44,0,81.27,1170.64,47.44,31.64,32.92,10.65,33.9,32.73
sahm_240934,20.55,0,1.83,0.42,6.97,5.31,0,5.63,23.3,21.88,513.84,0.31,37.96,8.68,1.2,1.57,43.51,192.12,5.45,12.86,5.88,148.1,1.3,8.5,1.78,346.92,0.37,7.27,64.18,36.53,0,12.64,0,7.32,1020.8,95.07,38.79,31.32,10.68,51.94,47.18
sahm_240936,15.57,0.25,0.66,0,7.1,3.43,0,8.46,16.36,17.01,160.75,0.21,28.26,7.04,1.32,1.82,41.01,259.62,1.77,16.49,7.26,119.61,0.14,7.62,1.73,219.91,0.02,2.55,52.29,36.2,0.29,10.68,0,2.93,960.34,74.81,45.2,22.01,5.84,34.84,33.21
sahm_240938,29.97,0,2.24,0.6,3.99,7.18,0,3.75,21.3,11.34,1142.87,2.7,16.54,7.84,0.38,15.13,53.74,224.13,2.81,9.53,3.81,119.51,5.52,8.67,2.47,451.19,0.05,11.74,60.47,121.62,1.71,16.19,0,6.27,990.03,66.15,50.67,25.38,10.04,51.39,40.29
sahm_240940,10.48,0,5.06,0.39,3.89,13.5,0.48,11.1,15.12,15.07,1753.02,0.7,15.96,5.68,0.24,3.88,47.63,226.85,6.41,16.01,0.08,100.52,0.8,8.43,3.87,286.57,0.79,3.88,54.74,75.79,0.8,17.1,0.01,16.92,1683.15,50.94,33.22,25.97,8.56,49.28,33.38
sahm_240942,8.94,0,2.99,0.58,1.91,1.23,0.25,10.08,6.05,14.13,560.39,1.14,25.11,0.2,0.08,23.86,35.48,250.56,4.2,8.19,0,136,1.01,6.4,8.79,290.59,4.05,6.64,33.35,24.2,5.03,19.33,0,12.52,1032.08,39.68,25.06,32.17,10.4,27.88,35.82
sahm_240944,13.95,0,44.43,0,4.93,17.8,57.77,0,15.7,0,6908.35,0,21.9,22.15,0,0,93.57,75.03,2.09,9.68,156.7,90.37,141,0,4.35,404.38,0,70.96,69.75,466.01,0,11.11,0,48.48,3052.14,68.01,55.29,24.74,0,56.34,87.36
sahm_240946,14.42,0,0.4,0.94,2.87,1,4.23,15.07,25.69,8.36,1204.7,1.7,18.8,8.02,2.49,5.46,125.29,348.72,1.13,14.3,0.28,117.39,0.57,16.32,22.15,262.9,19.09,4.21,45.12,27.91,1.47,28.93,0,19.06,1354.14,43.51,43.76,30.11,8.21,112.12,55.73
sahm_240948,28.66,0,3.1,7.64,2.4,3.58,0,5.61,68.71,5.44,969.33,1.29,14.06,4.12,0.3,11.28,96.62,270.1,1.44,7.48,0,180.35,0,22.75,27.04,315,15.47,4.83,51.89,32,0,18.84,0,22.02,907.06,64.77,26.83,22.75,4.65,139.31,88.73
sahm_240950,17.86,0,15.52,0.95,3.55,10.52,0,0,29.71,13.87,1855.63,0,26.1,1.69,0,1.47,45.95,30.32,5.56,6.2,24.87,168.14,103.62,16.41,4.9,388.92,0,61.94,72.19,159.86,1.61,25.48,0,31.74,740.83,87.32,45.28,45.79,11.76,106.34,44.64
sahm_245500,13.77,1.33,3.66,6.26,1.26,2.5,0.8,7.27,15.94,12.79,389.78,3.21,22.55,1.15,0.23,7.64,132.71,343.94,14.03,7.7,60.29,111.14,50.39,10.87,11.79,242.93,10.06,10.8,36.37,55.22,2.83,12.06,0.06,27.44,1229.55,54.6,33.15,26.15,4.73,23.91,24.82
sahm_245502,27.61,1.29,21.81,5.73,1.44,11.49,4.17,13.95,4.76,2.51,1238.94,2.38,3.69,5.28,0,83.58,263.59,52.39,5.93,4.13,53.21,126.76,0.14,19.67,4.41,248.94,26.66,4.55,108.34,123.78,8.22,26.98,0,75.98,3275.93,83.29,31.86,51.94,4.22,41.73,44.68
sahm_245504,22.82,0,18.38,0.57,0.47,4.35,4.14,6.32,9.28,1.07,287.46,2.16,12.12,4.18,0.6,13.48,269.81,120.26,6.59,3.09,0.09,88.5,1.15,12.01,1.75,226.39,12.58,5.89,121.26,232.73,10.17,14.4,0.11,23.41,1531.8,58.77,53.62,25.56,7.25,28.49,51.71
sahm_249104,21.07,0.17,8.12,2.19,0.58,9.16,2.98,3.19,9.1,0.83,255.23,3.62,2.52,6.26,0.73,11.22,248.09,19.59,4.59,1.58,55.09,116.83,0.04,19.46,1.51,113.47,10.42,13.09,63.17,187.63,16.17,11.21,0.04,131.29,1690.56,54.91,29.33,25.62,5.96,41.84,14.77
