,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
caris_70,66.6864,1.05166,57.6026,0.671693,0.82649,31.9043,4.43592,8.22542,1.1766,9.8641,364.78,0.179079,6.97697,10.9164,0.460987,31.4395,387.479,1049.17,29.0372,1.71979,3.13003,104,0.751815,19.1634,10.6055,88.7501,7.30124,2.13617,107.955,136.01,97.3509,31.378,,114.962,1766.44,71.6321,33.9626,29.8487,9.37632,62.7248,
caris_71,4.92239,0.230585,1.27055,0.817033,1.10136,9.64141,2.77624,2.4495,9.67247,3.03249,144.068,1.49428,2.81328,2.28457,0.119763,12.2069,164.56,400.076,14.7151,1.42496,0.228596,13.9879,0.105565,1.6666,1.42071,38.2775,4.58373,1.19017,18.3004,51.6907,7.479,5.2634,,26.1452,386.696,9.92728,6.31865,6.31682,3.46391,7.24863,
caris_72,14.7482,0.102562,2.52552,1.50736,0.380628,4.32297,37.5846,10.0387,1.57616,15.2634,315.28,0.400528,24.2245,3.97995,0.263372,41.1023,115.518,492.509,4.23369,4.84174,0.175897,162.496,0.331954,8.58409,24.9265,71.2834,4.16368,5.4752,49.1487,215.978,20.18,34.3483,,19.2166,1016.13,40.336,22.1085,18.5111,7.03367,31.6248,
caris_73,15.8753,0.122157,21.457,3.03212,0.611619,12.2025,4.6965,0.794312,0.230575,3.05836,198.277,1.07295,1.53244,3.06969,0.206379,8.12692,196.744,185.013,1.72827,0.399821,0.507725,45.9999,0.622883,5.30474,2.13643,44.5859,13.2883,2.75878,35.9513,53.8235,37.2383,11.169,,77.7172,600.846,18.3056,10.7102,11.4383,2.82621,20.7846,
caris_74,20.0847,0.673392,11.2465,0.160096,1.81608,9.01156,4.40687,1.05918,1.11925,2.38135,437.098,0.756037,1.33683,4.67138,0.119853,8.28058,194.378,115.236,3.29189,0.429376,0.441308,38.5012,0.200228,8.31052,2.11611,23.5738,42.9863,0.56829,41.1341,100.443,45.6525,13.7255,,38.1079,669.416,17.5323,11.2676,8.94316,3.55169,13.1968,
caris_75,28.0528,0.18827,8.88348,0.181059,0.128619,6.8669,13.7536,2.46643,0.433798,4.05771,202.751,0.129234,2.68661,2.58828,0.223474,8.11155,381.51,128.388,6.94279,0.921016,1.09347,85.5265,0.524782,12.0162,6.72804,23.4468,8.51198,2.62977,78.4903,118.038,46.3547,22.0182,,219.382,573.177,32.7673,11.3094,18.2666,3.70945,42.0509,
caris_76,9.59004,1.56809,4.85093,0.12544,0.579306,6.90864,1.0344,0.317922,0.528256,0.661112,18.9704,0.888619,1.3607,2.06156,1.10054,13.0532,106.555,94.4286,5.86891,0.462329,2.89751,27.5807,0.118535,2.71858,0.523192,18.3132,3.34507,0.145105,18.7575,97.2193,45.0235,7.23399,,29.278,243.948,7.13741,6.71102,4.93211,1.63943,9.9145,
caris_77,7.72487,0.605451,4.95585,0.501763,1.91246,2.79143,0.825056,2.13865,1.25614,0.541216,187.136,0.503598,0.717485,1.31983,0.137269,9.78947,68.8384,353.237,8.02506,0.286875,4.29057,17.7448,0.94709,2.5206,1.32527,26.4886,4.00514,3.40184,15.3857,24.6328,9.11297,6.28819,,34.8457,350.27,6.331,5.72537,5.2388,2.79817,4.02047,
caris_78,29.2745,0.125821,3.1402,0.165661,1.04812,33.1246,7.7338,5.44167,1.40102,3.42546,182.546,0.78654,7.57459,2.27065,0.42625,11.9756,101.228,1694.43,30.5611,2.19728,12.9904,41.6944,0.153997,6.59344,3.39569,51.1734,21.2584,1.08409,48.8326,24.0605,10.2645,9.92535,,6.37409,584.953,35.0466,10.2362,9.35959,7.71316,22.9876,
caris_79,6.0976,0.220966,7.09168,0.526893,0.488102,6.59389,4.55476,2.264,0.995194,4.53287,126.453,0.963419,1.64891,0.42139,1.40917,14.9396,82.7353,640.268,4.85006,0.445175,7.08882,16.9071,25.0332,1.88836,2.41324,24.3209,7.92645,3.4516,14.154,21.0412,52.4481,7.35935,,23.8431,638.818,7.80479,6.70262,3.78389,1.91019,7.98943,
